Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
Starlink-5562;USA;USA;SpaceX;Commercial;Communications;;LEO;Sun-Synchronous;0.0;569.0;571.0;0.00014409221902017292;97.7;95.9;300.0;260;;;SpaceX;USA;Cape Canaveral;Falcon 9;2023-058V;56336
Starlink-5563                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;564.0;567.0;0.00021627856679403071;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-046AU;56135
Starlink-5564                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;564.0;567.0;0.00021627856679403071;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-046AT;56134
Starlink-5565;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028E;55745
Starlink-5566                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;564.0;567.0;0.00021627856679403071;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-046AS;56133
Starlink-5567                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AY;55377
Starlink-5568                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AT;55372
Starlink-5569                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013BA;55379
Starlink-5570                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AU ;55433
Starlink-5571                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013BB;55380
Starlink-5572                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AZ;55378
Starlink-5573                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028K;55750
Starlink-5574                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AH;55362
Starlink-5575                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013BC;55382
Starlink-5576                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013BD;55383
Starlink-5577                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028L;55751
Starlink-5578                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AV;55374
Starlink-5579                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028F;55746
Starlink-5580                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028H;55748
Starlink-5581                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AU;55373
Starlink-5583                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028AD;55768
Starlink-5584                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028AE;55769
Starlink-5586                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AX;55376
Starlink-5588                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AW;55375
Starlink-5590                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AS;55371
Starlink-5591                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028AG;55771
Starlink-5592;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028A;55741
Starlink-5593                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028Y;55763
Starlink-5594;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028B;55742
Starlink-5595                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028AA;55765
Starlink-5596                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015AD;55476
Starlink-5597                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014N ;55403
Starlink-5598                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AG ;55421
Starlink-5599                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028AB;55766
Starlink-5601                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028D;55744
Starlink-5602                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028C;55743
Starlink-5603                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028X;55762
Starlink-5604                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AF ;55420
Starlink-5605                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014W ;55411
Starlink-5606                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028AC;55767
Starlink-5607                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014P ;55404
Starlink-5608                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013Y;55353
Starlink-5609                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013T;55348
Starlink-5611                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028W;55761
Starlink-5612                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028P;55754
Starlink-5613                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028M;55752
Starlink-5614                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028R;55756
Starlink-5615                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AL ;55425
Starlink-5616                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AC ;55417
Starlink-5617                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028N;55753
Starlink-5618                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AA ;55415
Starlink-5619                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;577.0;581.0;0.0002878111958555188;70.0;96.1;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-028Q;55755
Starlink-5620                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014Z ;55414
Starlink-5621                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AV ;55434
Starlink-5622                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AD;55358
Starlink-5623                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014Q;55405
Starlink-5624                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AB ;55416
Starlink-5625                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AP;55368
Starlink-5626                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AW                ;55435
Starlink-5627                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AK;55364
Starlink-5628                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015T;55466
Starlink-5629                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AE ;55419
Starlink-5630                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014R ;55406
Starlink-5631                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013R;55346
Starlink-5632                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014K ;55400
Starlink-5633                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014V;55410
Starlink-5634                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014BA                ;55439
Starlink-5635                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AN;55367
Starlink-5636                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015F;55455
Starlink-5637                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AT ;55432
Starlink-5638                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AM ;55426
Starlink-5639                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AL;55365
Starlink-5640                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AX ;55436
Starlink-5641                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AE;55359
Starlink-5642                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AR ;55430
Starlink-5643                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AS ;55431
Starlink-5644                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AQ;55369
Starlink-5645                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Polar;0.0;580.0;583.0;0.00021578076674099114;70.0;96.2;290.0;;;4.0;SpaceX;USA;Vandenberg AFB;Falcon 9;2023-014AQ ;55429
Starlink-5646                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015N;55461
Starlink-5647                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AA;55355
Starlink-5648                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AJ;55363
Starlink-5649                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013Z;55354
Starlink-5650                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015AC;55475
Starlink-5651                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AC;55357
Starlink-5652                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013D;55334
Starlink-5653                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013Q;55345
Starlink-5654                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AM;55366
Starlink-5655                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013F;55336
Starlink-5656                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015C;55451
Starlink-5657                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013M;55342
Starlink-5658                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013H;55338
Starlink-5659                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013W;55351
Starlink-5660                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013E;55335
Starlink-5661                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013N;55343
Starlink-5662                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013P;55344
Starlink-5663                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013S;55347
Starlink-5664                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AF;55360
Starlink-5665                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013AG;55361
Starlink-5666                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013U;55349
Starlink-5667                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013G;55337
Starlink-5668                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013V;55350
Starlink-5669                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015L;55459
Starlink-5670                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013L;55341
Starlink-5671                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013J;55339
Starlink-5672                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015V;55468
Starlink-5673                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015P;55462
Starlink-5674                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015S;55465
Starlink-5675                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;565.0;567.0;0.0001441753171856978;43.0;95.0;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-013K;55340
Starlink-5676                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015R;55464
Starlink-5677                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015Q;55463
Starlink-5679                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015U;55467
Starlink-5680                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015G;55455
Starlink-5681                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015W;55469
Starlink-5682                ;USA;USA;SpaceX;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;323.0;342.0;0.0014173815740395376;43.0;95.8;290.0;;;4.0;SpaceX;USA;Cape Canaveral;Falcon 9;2023-015J;55457
